4152	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.1 Core Principles	* Schema semantics MUST be **closed-world**, **deterministic**, and **free of heuristics**.
4154	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.1 Core Principles	Schema validation, schema expansion, and derived-artifact generation MUST satisfy the schema-first requirements defined in §9.
4163	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Traits	A `Schema` Concept MUST declare the following Traits:
4190	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Traits	The canonical namespace label for this schema. The value MUST be a camelCase name (§4.1). This label is used by importing documents to construct qualified names (§4.1.1) that reference Concept and Trait definitions from this schema. Each schema's `namespace` value MUST be unique among all schemas loaded together (governing schema plus imported schemas); if two schemas declare the same `namespace` value, processing MUST fail with a `SchemaError` (§14).
4199	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	A `Schema` MUST satisfy the mode-conditional child-Concept rules defined in §9.4.
4203	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	* A `Schema` MUST contain exactly one `ConceptDefinitions` child Concept.
4213	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	* A `Schema` MUST NOT contain `RdfGraph`.
4217	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	* A `Schema` MUST contain exactly one `RdfGraph` child Concept.
4218	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	* A `Schema` MUST NOT contain any of the following child Concepts:
4227	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children	* A `Schema` in `$CanonicalMode` is allowed to contain a `SchemaImports` child Concept. The parser MUST merge imported SHACL shapes at the RDF level.
4233	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Semantic Requirements	* Any schema whose structure or semantics cannot be interpreted deterministically under this specification MUST be rejected with a `SchemaError` (§14).
4243	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`	`SchemaImports` MUST only appear as a direct child of a root Concept.
4245	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`	A root Concept MUST NOT contain more than one `SchemaImports` child.
4247	Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`	If `SchemaImports` appears on a non-root Concept, the document MUST be rejected with a `ParseError` (§14).
